Date,Team A,Score A,Team B,Score B,Game ID,Knock-out,Possession A - Overall,Possession B - Overall,Possession A - 1st half,Possession B - 1st half,Possession A - 2nd half,Possession B - 2nd half,Tries A,Tries B,Conversions A,Conversions B,Penalties A,Penalties B,Metres A,Metres B,Defenders Beaten A,Defenders Beaten B,Clean breaks A,Clean breaks B,Gain line Carries A,Gain line Carries B,Passes A,Passes B,Offloads A,Offloads B,Turnovers won A,Turnovers won B,Kicks from Hand A,Kicks from Hand B,Rucks Won A,Rucks Won B,Tackles Made A,Tackles Made B,Tackles Missed A,Tackles Missed B,Goal Kicks Successful A,Goal Kicks Attempted A,Goal Kicks Successful B,Goal Kicks Attempted B,Rucks Successful A,Total Rucks A,Rucks Successful B,Total Rucks B,Lineouts Successful A,Lineouts Thrown A,Lineouts Successful B,Lineouts Thrown B,Scrums Successful A,Scrums Total A,Scrums Successful B,Scrums Total B,Penalties Conceded Own Half A,Penalties Conceded Own Half B,Penalties Conceded Opp Half A,Penalties Conceded Opp Half B,Yellow Cards A,Yellow Cards B,Red Cards A,Red Cards B
6-Oct-2023,France,60,Italy,7,87867,No,56,44,56,44,57,43,8,1,7,1,2,0,513,457,513,457,513,457,513,457,513,457,513,457,513,457,513,457,513,457,132,162,9,22,9,11,1,1,87,90,85,92,14,15,10,12,6,7,2,4,4,11,2,5,0,0,0,0
5-Oct-2023,New Zealand,73,Uruguay,0,87866,No,63,37,53,47,74,26,11,0,9,0,0,0,843,269,843,269,843,269,843,269,843,269,843,269,843,269,843,269,843,269,92,191,11,46,9,11,0,1,119,124,57,60,7,7,8,12,7,8,4,7,4,4,3,4,0,0,0,0
1-Oct-2023,South Africa,49,Tonga,18,87865,No,55,45,50,50,60,40,7,3,7,0,0,1,392,253,392,253,392,253,392,253,392,253,392,253,392,253,392,253,392,253,146,159,14,16,7,7,1,4,89,90,76,85,17,18,14,15,2,3,6,7,6,6,3,6,0,0,0,0
1-Oct-2023,Australia,34,Portugal,14,87864,No,44,56,52,48,37,63,5,2,3,2,1,0,528,607,528,607,528,607,528,607,528,607,528,607,528,607,528,607,528,607,153,132,29,18,4,7,2,2,69,70,88,89,10,13,15,17,5,7,6,7,7,5,4,2,2,1,0,0
30-Sep-2023,Scotland,84,Romania,0,87863,No,59,41,73,27,46,54,12,0,12,0,0,0,1154,302,1154,302,1154,302,1154,302,1154,302,1154,302,1154,302,1154,302,1154,302,125,161,12,72,12,12,0,1,97,99,72,74,14,15,10,12,2,4,7,7,5,5,6,5,0,3,0,0
30-Sep-2023,Fiji,17,Georgia,12,87862,No,55,45,53,47,58,42,2,0,2,0,1,4,490,480,490,480,490,480,490,480,490,480,490,480,490,480,490,480,490,480,108,196,28,17,3,5,4,4,106,108,68,73,11,16,7,9,9,13,7,8,6,6,2,7,2,0,0,0
30-Sep-2023,Argentina,59,Chile,5,87861,No,60,40,60,40,60,40,8,1,8,0,1,0,714,316,714,316,714,316,714,316,714,316,714,316,714,316,714,316,714,316,103,184,23,46,9,9,0,2,97,102,64,68,16,16,4,7,5,7,2,3,2,6,7,6,1,0,0,0
29-Sep-2023,New Zealand,96,Italy,17,87860,No,57,43,69,31,44,56,14,2,13,2,0,1,806,445,806,445,806,445,806,445,806,445,806,445,806,445,806,445,806,445,108,125,16,33,13,14,3,3,70,71,67,72,15,15,6,11,5,6,2,8,4,8,3,6,0,0,0,0
28-Sep-2023,Japan,28,Samoa,22,87859,No,43,57,38,62,48,52,3,3,2,2,3,1,426,441,426,441,426,441,426,441,426,441,426,441,426,441,426,441,426,441,181,83,31,21,5,6,3,5,58,61,110,112,14,16,9,11,9,12,5,5,6,6,4,6,1,1,0,1
27-Sep-2023,Uruguay,36,Namibia,26,87858,No,56,44,51,49,61,39,5,2,4,2,1,4,368,353,368,353,368,353,368,353,368,353,368,353,368,353,368,353,368,353,108,121,18,34,5,6,6,6,73,76,73,76,12,13,9,9,10,10,4,5,4,11,5,6,1,2,0,1
24-Sep-2023,Wales,40,Australia,6,87857,No,52,48,41,59,67,33,3,0,2,0,6,2,254,295,254,295,254,295,254,295,254,295,254,295,254,295,254,295,254,295,141,124,19,15,8,10,2,2,68,69,74,75,17,18,7,9,10,10,5,5,6,8,3,4,0,0,0,0
24-Sep-2023,Scotland,45,Tonga,17,87856,No,58,42,59,41,57,43,7,2,5,2,0,1,714,337,714,337,714,337,714,337,714,337,714,337,714,337,714,337,714,337,108,151,13,48,5,7,3,3,83,87,52,55,18,21,4,7,6,8,10,13,2,7,6,3,0,1,0,1
23-Sep-2023,South Africa,8,Ireland,13,87855,No,51,49,42,58,60,40,1,1,0,1,1,2,383,218,383,218,383,218,383,218,383,218,383,218,383,218,383,218,383,218,134,119,20,23,1,5,3,3,62,68,74,77,8,10,12,18,9,11,5,7,4,5,7,4,0,0,0,0
23-Sep-2023,England,71,Chile,0,87854,No,58,42,70,30,46,54,11,0,8,0,0,0,685,256,685,256,685,256,685,256,685,256,685,256,685,256,685,256,685,256,103,140,18,28,8,11,0,1,83,86,65,68,10,11,9,13,8,9,3,4,6,8,5,4,0,1,0,0
23-Sep-2023,Georgia,18,Portugal,18,87853,No,52,48,67,33,38,62,2,2,1,1,2,2,540,420,540,420,540,420,540,420,540,420,540,420,540,420,540,420,540,420,130,133,23,22,3,4,3,5,76,82,82,85,13,14,14,16,7,8,5,6,3,8,6,3,0,1,0,0
