,Game ID,Date,Team,Score,Possession - Overall,Possession - 1st half,Possession - 2nd half,Tries,Conversions,Penalties,Metres,Defenders Beaten,Clean breaks,Gain line Carries,Passes,Offloads,Turnovers won,Kicks from Hand,Rucks Won,Tackles Made,Tackles Missed,Goal Kicks Successful,Goal Kicks Attempted,Rucks Successful,Total Rucks,Lineouts Successful,Lineouts Thrown,Scrums Successful,Scrums Total,Penalties Conceded Own Half,Penalties Conceded Opp Half,Yellow Cards,Red Cards,% Rucks Successful,% Goal kicks Successful,% Scrums Successful,% Tackle Successful,Outcome
15,87874,14-Oct-2023,Argentina,12.0,12.0,14.0,10.0,0.0,0.0,4.0,-188.0,-2.0,-3.0,18.0,-2.0,2.0,4.0,9.0,51.0,-71.0,2.0,4.0,4.0,51.0,49.0,4.0,0.0,-1.0,-3.0,-5.0,0.0,0.0,0.0,0.04649811101424006,0.125,0.19999999999999996,-0.08050730631375791,1.0
16,87873,8-Oct-2023,Fiji,-1.0,8.0,4.0,12.0,-1.0,-1.0,2.0,179.0,10.0,-2.0,19.0,4.0,-6.0,-2.0,-7.0,37.0,-81.0,-10.0,1.0,1.0,37.0,39.0,3.0,1.0,-1.0,-3.0,-6.0,5.0,1.0,0.0,-0.0011178537208559325,0.0,0.16666666666666663,-0.0387931034482758,0.0
17,87873,8-Oct-2023,Portugal,1.0,-8.0,-4.0,-12.0,1.0,1.0,-2.0,-179.0,-10.0,2.0,-19.0,-4.0,6.0,2.0,7.0,-37.0,81.0,10.0,-1.0,-1.0,-37.0,-39.0,-3.0,-1.0,1.0,3.0,6.0,-5.0,-1.0,0.0,0.0011178537208559325,0.0,-0.16666666666666663,0.0387931034482758,1.0
18,87872,8-Oct-2023,Tonga,21.0,14.0,4.0,26.0,4.0,2.0,-1.0,443.0,30.0,10.0,33.0,79.0,14.0,-6.0,-14.0,12.0,-37.0,-30.0,1.0,2.0,12.0,14.0,7.0,5.0,-5.0,-6.0,3.0,-2.0,0.0,0.0,-0.01685796269727402,-0.08571428571428574,-0.25,0.12505212677231037,1.0
19,87872,8-Oct-2023,Romania,-21.0,-14.0,-4.0,-26.0,-4.0,-2.0,1.0,-443.0,-30.0,-10.0,-33.0,-79.0,-14.0,6.0,14.0,-12.0,37.0,30.0,-1.0,-2.0,-12.0,-14.0,-7.0,-5.0,5.0,6.0,-3.0,2.0,0.0,0.0,0.01685796269727402,0.08571428571428574,0.25,-0.12505212677231037,0.0
20,87871,8-Oct-2023,Japan,-12.0,-4.0,-8.0,0.0,-2.0,-1.0,-1.0,-70.0,3.0,-4.0,1.0,13.0,4.0,-1.0,-3.0,-23.0,39.0,-3.0,-2.0,-4.0,-23.0,-21.0,3.0,3.0,5.0,2.0,-1.0,0.0,1.0,0.0,-0.029583333333333406,0.25,0.375,0.05409033194268098,0.0
21,87871,8-Oct-2023,Argentina,12.0,4.0,8.0,0.0,2.0,1.0,1.0,70.0,-3.0,4.0,-1.0,-13.0,-4.0,1.0,3.0,23.0,-39.0,3.0,2.0,4.0,23.0,21.0,-3.0,-3.0,-5.0,-2.0,1.0,0.0,-1.0,0.0,0.029583333333333406,-0.25,-0.375,-0.05409033194268098,1.0
22,87870,7-Oct-2023,Ireland,22.0,-8.0,-4.0,-14.0,4.0,1.0,0.0,-168.0,-12.0,2.0,-11.0,-75.0,-6.0,4.0,13.0,-31.0,55.0,12.0,1.0,4.0,-31.0,-36.0,3.0,0.0,-1.0,-1.0,0.0,-4.0,-1.0,0.0,0.0345238095238094,-0.5,-0.06666666666666665,-0.024847428073234368,1.0
23,87870,7-Oct-2023,Scotland,-22.0,8.0,4.0,14.0,-4.0,-1.0,0.0,168.0,12.0,-2.0,11.0,75.0,6.0,-4.0,-13.0,31.0,-55.0,-12.0,-1.0,-4.0,31.0,36.0,-3.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,-0.0345238095238094,0.5,0.06666666666666665,0.024847428073234368,0.0
24,87869,7-Oct-2023,England,1.0,10.0,-2.0,20.0,0.0,-1.0,1.0,-32.0,11.0,1.0,-9.0,-22.0,-8.0,2.0,0.0,-6.0,22.0,-11.0,0.0,1.0,-6.0,-4.0,6.0,8.0,3.0,4.0,-5.0,0.0,-1.0,0.0,-0.032900432900432985,-0.15000000000000002,-0.033333333333333326,0.09361702127659566,1.0
25,87869,7-Oct-2023,Samoa,-1.0,-10.0,2.0,-20.0,0.0,1.0,-1.0,32.0,-11.0,-1.0,9.0,22.0,8.0,-2.0,0.0,6.0,-22.0,11.0,0.0,-1.0,6.0,4.0,-6.0,-8.0,-3.0,-4.0,5.0,0.0,1.0,0.0,0.032900432900432985,0.15000000000000002,0.033333333333333326,-0.09361702127659566,0.0
26,87868,7-Oct-2023,Wales,24.0,-2.0,2.0,-6.0,3.0,3.0,1.0,27.0,-5.0,2.0,-13.0,18.0,2.0,3.0,12.0,-28.0,49.0,5.0,4.0,5.0,-28.0,-32.0,0.0,-5.0,-2.0,-4.0,-1.0,2.0,0.0,0.0,0.025974025974025983,0.08333333333333337,0.33333333333333337,0.008946488294314436,1.0
