Date,Game ID,Team,Score,Possession - Overall,Possession - 1st half,Possession - 2nd half,Tries,Conversions,Penalties,Metres,Defenders Beaten,Clean breaks,Gain line Carries,Passes,Offloads,Turnovers won,Kicks from Hand,Rucks Won,Tackles Made,Tackles Missed,Goal Kicks Successful,Goal Kicks Attempted,Rucks Successful,Total Rucks,Lineouts Successful,Lineouts Thrown,Scrums Successful,Scrums Total,Penalties Conceded Own Half,Penalties Conceded Opp Half,Yellow Cards,Red Cards,% Rucks Successful,% Goal kicks Successful,% Scrums Successful,% Tackle Successful,Outcome
8-Sep-2023,87834,France,0.675,0.49,0.44,0.53,0.5,1.0,0.8333333333333334,0.41574074074074074,0.3333333333333333,0.5714285714285714,0.38392857142857145,0.4122137404580153,0.6111111111111112,0.6153846153846154,0.5301204819277109,0.4230769230769231,0.5921052631578947,0.6666666666666666,0.8571428571428571,0.75,0.4230769230769231,0.4244604316546763,0.5652173913043478,0.56,0.4444444444444444,0.4166666666666667,0.2222222222222222,0.2857142857142857,0.0,0.0,0.9322033898305084,0.6666666666666666,0.8,0.8083832335329342,1.0
8-Sep-2023,87834,New Zealand,0.325,0.51,0.56,0.47,0.5,0.0,0.16666666666666666,0.5842592592592593,0.6666666666666666,0.42857142857142855,0.6160714285714286,0.5877862595419847,0.3888888888888889,0.38461538461538464,0.46987951807228917,0.5769230769230769,0.40789473684210525,0.3333333333333333,0.14285714285714285,0.25,0.5769230769230769,0.5755395683453237,0.43478260869565216,0.44,0.5555555555555556,0.5833333333333334,0.7777777777777778,0.7142857142857143,1.0,0.0,0.9375,0.3333333333333333,0.7142857142857143,0.8532110091743119,0.0
9-Sep-2023,87835,Namibia,0.13333333333333333,0.48,0.53,0.44,0.125,0.0,0.5,0.30857142857142855,0.22641509433962265,0.2,0.39344262295081966,0.44200626959247646,0.23529411764705882,0.5294117647058824,0.5714285714285714,0.5735294117647058,0.4533898305084746,0.7735849056603774,0.1111111111111111,0.2727272727272727,0.5735294117647058,0.5664335664335665,0.3103448275862069,0.36363636363636365,0.5,0.5,0.45454545454545453,0.7272727272727273,1.0,0.0,0.9629629629629629,0.3333333333333333,1.0,0.722972972972973,0.0
9-Sep-2023,87835,Italy,0.8666666666666667,0.52,0.47,0.56,0.875,1.0,0.5,0.6914285714285714,0.7735849056603774,0.8,0.6065573770491803,0.5579937304075235,0.7647058823529411,0.47058823529411764,0.42857142857142855,0.4264705882352941,0.5466101694915254,0.22641509433962265,0.8888888888888888,0.7272727272727273,0.4264705882352941,0.43356643356643354,0.6896551724137931,0.6363636363636364,0.5,0.5,0.5454545454545454,0.2727272727272727,0.0,0.0,0.9354838709677419,1.0,1.0,0.9148936170212766,1.0
9-Sep-2023,87836,Ireland,0.9111111111111111,0.67,0.57,0.76,0.9230769230769231,1.0,0.0,0.7787234042553192,0.7843137254901961,0.875,0.7847222222222222,0.8536585365853658,0.9642857142857143,0.5714285714285714,0.4318181818181818,0.7520661157024794,0.2807017543859649,0.21568627450980393,0.9166666666666666,0.8571428571428571,0.7520661157024794,0.7380952380952381,0.5,0.5454545454545454,0.5,0.5,0.2222222222222222,0.375,0.0,0.0,0.978494623655914,0.9166666666666666,0.8888888888888888,0.8533333333333333,1.0
9-Sep-2023,87836,Romania,0.08888888888888889,0.33,0.43,0.24,0.07692307692307693,0.0,1.0,0.22127659574468084,0.21568627450980393,0.125,0.2152777777777778,0.14634146341463414,0.03571428571428571,0.42857142857142855,0.5681818181818182,0.24793388429752067,0.7192982456140351,0.7843137254901961,0.08333333333333333,0.14285714285714285,0.24793388429752067,0.2619047619047619,0.5,0.45454545454545453,0.5,0.5,0.7777777777777778,0.625,1.0,0.0,0.9090909090909091,0.5,0.8888888888888888,0.803921568627451,0.0
9-Sep-2023,87837,Georgia,0.3,0.43,0.37,0.49,0.3333333333333333,0.25,0.25,0.4357142857142857,0.5581395348837209,0.35714285714285715,0.3671875,0.39166666666666666,0.4666666666666667,0.3,0.4666666666666667,0.3088235294117647,0.6982758620689655,0.4418604651162791,0.25,0.3,0.3088235294117647,0.32867132867132864,0.4230769230769231,0.4375,0.42857142857142855,0.4,0.5833333333333334,0.75,1.0,0.0,0.8936170212765957,0.6666666666666666,1.0,0.8950276243093923,0.0
9-Sep-2023,87837,Australia,0.7,0.57,0.63,0.51,0.6666666666666666,0.75,0.75,0.5642857142857143,0.4418604651162791,0.6428571428571429,0.6328125,0.6083333333333333,0.5333333333333333,0.7,0.5333333333333333,0.6911764705882353,0.3017241379310345,0.5581395348837209,0.75,0.7,0.6911764705882353,0.6713286713286714,0.5769230769230769,0.5625,0.5714285714285714,0.6,0.4166666666666667,0.25,0.0,0.0,0.9791666666666666,0.8571428571428571,0.8888888888888888,0.7446808510638299,1.0
9-Sep-2023,87838,Argentina,0.2702702702702703,0.5,0.46,0.54,1.0,1.0,0.14285714285714285,0.5682656826568265,0.7142857142857143,0.75,0.5733333333333334,0.6213592233009708,0.75,0.2,0.328125,0.5833333333333334,0.3688888888888889,0.2857142857142857,0.25,0.2727272727272727,0.5833333333333334,0.5971223021582733,0.6111111111111112,0.6818181818181818,0.1111111111111111,0.15384615384615385,0.7142857142857143,0.6153846153846154,1.0,0.0,0.927710843373494,0.6666666666666666,0.5,0.8924731182795699,0.0
9-Sep-2023,87838,England,0.7297297297297297,0.5,0.54,0.46,0.0,0.0,0.8571428571428571,0.4317343173431734,0.2857142857142857,0.25,0.4266666666666667,0.3786407766990291,0.25,0.8,0.671875,0.4166666666666667,0.6311111111111111,0.7142857142857143,0.75,0.7272727272727273,0.4166666666666667,0.4028776978417266,0.3888888888888889,0.3181818181818182,0.8888888888888888,0.8461538461538461,0.2857142857142857,0.38461538461538464,0.0,1.0,0.9821428571428571,0.75,0.7272727272727273,0.8502994011976048,1.0
