,date,Team A,Team B,Score A,Score B,Tourn,Venue,City,Neut.,Country,elo_home,elo_away,proba_home_win,elo_gap,outcome
37,1890-02-01,Wales,Scotland,0,1,Home_Nations_Championship,,Cardiff,True,,969.3461643758933,1090.114609662717,0.3328775173741141,-120.76844528682363,0.0
38,1890-02-01,Wales,Scotland,1,1,Home_Nations_Championship,Cardiff Arms Park,Cardiff,True,,962.5656523804021,1096.8951216582082,0.315773766825246,-134.32946927780608,0.5
39,1890-02-22,Scotland,Ireland,1,1,Home_Nations_Championship,Raeburn Place,Edinburgh,True,,1096.8951216582082,915.8706464553848,0.7392474132219239,181.0244752028234,0.5
40,1890-02-22,Scotland,Ireland,1,0,Home_Nations_Championship,,Edinburgh,True,,1096.8951216582082,915.8706464553848,0.7392474132219239,181.0244752028234,1.0
41,1890-03-01,Ireland,Wales,1,1,Home_Nations_Championship,Lansdowne,Dublin,True,,910.6936889330361,962.5656523804021,0.4258999989727756,-51.87196344736594,0.5
42,1890-03-01,Ireland,Wales,1,1,Home_Nations_Championship,,Dublin,True,,910.6936889330361,962.5656523804021,0.4258999989727756,-51.87196344736594,0.5
43,1890-03-01,Scotland,England,0,1,Home_Nations_Championship,,Edinburgh,True,,1102.0720791805568,1024.668579506005,0.6095855329576697,77.40349967455177,0.0
44,1891-01-03,Wales,England,3,7,Home_Nations_Championship,,Newport,True,,962.5656523804021,1037.321899859397,0.3940471626406293,-74.75624747899496,0.0
45,1891-01-03,Wales,England,3,7,Home_Nations_Championship,Rodney Parade,Newport,True,,943.5517202064891,1056.33583203331,0.3431613772864413,-112.78411182682089,0.0
46,1891-02-07,Ireland,England,0,9,Home_Nations_Championship,,Dublin,True,,910.6936889330361,1072.6221124865092,0.2824917831782803,-161.92842355347307,0.0
47,1891-02-07,Scotland,Wales,15,0,Home_Nations_Championship,,Edinburgh,True,,1089.4187588271648,927.2654397532899,0.7177705461615677,162.15331907387485,1.0
48,1891-02-07,Scotland,Wales,15,0,Home_Nations_Championship,Raeburn Place,Edinburgh,True,,1112.0112478342853,904.6729507461694,0.7673727320898752,207.33829708811595,1.0
49,1891-02-07,Ireland,England,0,9,Home_Nations_Championship,Lansdowne Road,Dublin,True,,891.9118050653951,1091.4039963541502,0.24078705129517217,-199.49219128875507,0.0
50,1891-02-21,Ireland,Scotland,0,14,Home_Nations_Championship,Belfast,George Rowland Hill,True,,876.153342268418,1130.2835522655462,0.1880255398093283,-254.1302099971282,0.0
51,1891-02-21,Ireland,Scotland,0,14,Home_Nations_Championship,,Belfast,True,,862.0032155801754,1144.4336789537888,0.16440647174547002,-282.4304633736134,0.0
52,1891-03-07,England,Scotland,3,9,Home_Nations_Championship,Athletic Ground,Richmond,True,,1107.1624591511275,1156.6652686023713,0.429237923745171,-49.50280945124382,0.0
53,1891-03-07,Wales,Ireland,6,4,Home_Nations_Championship,,Llanelli,True,,886.4006463149086,849.7716259315928,0.552518962304555,36.62902038331583,1.0
54,1891-03-07,England,Scotland,3,9,Home_Nations_Championship,,Richmond,True,,1081.8392522473573,1181.9884755061414,0.3597371264852252,-100.1492232587841,0.0
55,1891-03-07,Wales,Ireland,6,4,Home_Nations_Championship,Stradey Park,Llanelli,True,,901.3909181396037,834.7813541068977,0.5947014292950601,66.60956403270609,1.0
56,1892-01-02,England,Wales,17,0,Home_Nations_Championship,,London,True,,1061.083598974576,914.788523542916,0.6989161855831105,146.29507543166005,1.0
57,1892-01-02,England,Wales,17,0,Home_Nations_Championship,Rectory Field,Blackheath,True,,1086.3790752004238,889.4930473170681,0.7564597467576266,196.88602788335572,1.0
58,1892-01-06,England,Ireland,7,0,Home_Nations_Championship,,Manchester,True,,1106.408175861664,821.3837487035854,0.8376345831928839,285.02442715807854,1.0
